model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
ANIL,,,18.420680743952367,0.9999999799999999,0.99999999,0.0,0.0,1e-08,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,0
ANIL,,,1.0000000100247594e-08,1.0000000100495186e-16,1.0000000050247593e-08,1.0,1.0,0.99999999,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,1
ANIL,,,18.420680743952367,0.9999999799999999,0.99999999,0.0,0.0,1e-08,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,2
ANIL,,,1.0000000100247594e-08,1.0000000100495186e-16,1.0000000050247593e-08,1.0,1.0,0.99999999,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,3
ANIL,,,1.0000000100247592e-08,1.0000000100495187e-16,1.0000000050247593e-08,1.0,1.0,0.99999999,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,4
