model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,condition,model_base
Mean Predictor_A_weak_only,0.5,0.40096618357487923,0.7155429425846976,0.2611635781610019,0.14481462273101542,0.5724137931034483,0.40096618357487923,0.5457808063058947,0.40096618357487923,207,83,0.6,0.03614457831325301,0.4009661835748792,0.8,0.0963855421686747,0.40096618357487923,0.85,0.20481927710843373,0.4009661835748792,A_weak_only,Mean Predictor
Elastic Net_A_weak_only,0.3514865915273999,0.3155668043444886,2.8561022899379815,0.43558045845946736,0.38229906859994633,0.4583333333333333,0.3719806763285024,0.6818643943036106,0.40096618357487923,207,83,0.4,0.024096385542168676,0.22222222222222215,0.4,0.04819277108433735,0.22222222222222224,0.25,0.060240963855421686,0.22222222222222218,A_weak_only,Elastic Net
XGBoost_A_weak_only,0.37383404586086283,0.33360701108371527,4.910134688404094,0.48026663674833076,0.4387456344873836,0.45,0.36231884057971014,0.6999636188267768,0.40096618357487923,207,83,0.4,0.024096385542168676,0.293103448275862,0.7,0.08433734939759036,0.29310344827586204,0.55,0.13253012048192772,0.293103448275862,A_weak_only,XGBoost
MLP_A_weak_only,0.34648270501360284,0.32223737698358806,0.8073146064691238,0.27911545095152696,0.12181839185366451,0.023255813953488372,0.5942028985507246,0.3230854437286079,0.40096618357487923,207,83,0.2,0.012048192771084338,0.2139862647345275,0.1,0.012048192771084338,0.1388624438735545,0.2,0.04819277108433735,0.19274244037820337,A_weak_only,MLP
Mean Predictor_B_gold_only,0.5,0.40096618357487923,0.7660931561737039,0.28571160232704657,0.21335252312258035,0.5724137931034483,0.40096618357487923,0.6143187066974596,0.40096618357487923,207,83,0.6,0.03614457831325301,0.4009661835748792,0.8,0.0963855421686747,0.40096618357487923,0.85,0.20481927710843373,0.4009661835748792,B_gold_only,Mean Predictor
Elastic Net_B_gold_only,0.8321026039642441,0.6943858020797159,1.2444643632409136,0.18517260993955081,0.1827412395360045,0.7209302325581395,0.7681159420289855,0.4848283194241891,0.40096618357487923,207,83,1.0,0.060240963855421686,0.7567567567567567,1.0,0.12048192771084337,0.7567567567567568,1.0,0.24096385542168675,0.7567567567567567,B_gold_only,Elastic Net
XGBoost_B_gold_only,0.8531869413136416,0.6734635135697448,1.3393637569645667,0.1646606231863952,0.1811705484146649,0.7888888888888889,0.8164251207729468,0.5159377397210694,0.40096618357487923,207,83,0.8,0.04819277108433735,0.4761904761904761,0.8,0.0963855421686747,0.47619047619047616,0.5,0.12048192771084337,0.4761904761904761,B_gold_only,XGBoost
MLP_B_gold_only,0.5593664982510689,0.5261386810494726,3.4625671636960775,0.4008155317784609,0.40079023495287264,0.0,0.5990338164251208,0.00017594862200661702,0.40096618357487923,207,83,1.0,0.060240963855421686,0.9999999999999999,0.8,0.0963855421686747,0.8603818544462509,0.6,0.14457831325301204,0.7017631556536821,B_gold_only,MLP
Mean Predictor_C_hybrid,0.5,0.40096618357487923,0.7174082109373137,0.26208783992583723,0.1479714050807175,0.5724137931034483,0.40096618357487923,0.5489375886555967,0.40096618357487923,207,83,0.6,0.03614457831325301,0.4009661835748792,0.8,0.0963855421686747,0.40096618357487923,0.85,0.20481927710843373,0.4009661835748792,C_hybrid,Mean Predictor
Elastic Net_C_hybrid,0.533181111542946,0.4154048811834947,1.3169710239305743,0.32827859351321537,0.23777895400873117,0.5321100917431193,0.5072463768115942,0.6058957118321323,0.40096618357487923,207,83,0.4,0.024096385542168676,0.37499999999999994,0.4,0.04819277108433735,0.3925510940843862,0.45,0.10843373493975904,0.43347743446706016,C_hybrid,Elastic Net
XGBoost_C_hybrid,0.9069179945588807,0.7823765482237904,1.0265304205795127,0.13363363518603683,0.1765189647674678,0.8387096774193549,0.855072463768116,0.5432023944499753,0.40096618357487923,207,83,0.2,0.012048192771084338,0.7142857142857142,0.5,0.060240963855421686,0.7142857142857143,0.75,0.18072289156626506,0.7142857142857143,C_hybrid,XGBoost
MLP_C_hybrid,0.690439176059075,0.5900540009451042,0.6409615686215175,0.22406652283367195,0.12291297879843897,0.5454545454545454,0.6376811594202898,0.45668932203437396,0.40096618357487923,207,83,1.0,0.060240963855421686,0.9999999999999999,0.7,0.08433734939759036,0.7967610662472993,0.65,0.1566265060240964,0.7286391181941058,C_hybrid,MLP
