supplier_number,Join_Year,article_count,negative_count,positive_count,neutral_count,avg_sentiment_score,avg_relevance_score,max_relevance_score,negative_ratio,has_high_relevance_negative_news
1011795,2017,1,0,1,0,1.0,3.0,3.0,0.0,0
1011795,2019,2,0,2,0,1.0,3.5,4.0,0.0,0
1011795,2020,3,0,3,0,1.0,3.5,4.0,0.0,0
1011795,2022,8,0,7,1,0.875,3.1875,4.0,0.0,0
1011795,2023,8,0,7,1,0.875,3.0625,3.5,0.0,0
1011795,2024,4,0,4,0,1.0,3.3,4.2,0.0,0
1011795,2026,4,1,3,0,0.5,3.75,4.5,0.25,1
1011795,2027,1,0,0,1,0.0,3.5,3.5,0.0,0
10425,2018,1,0,1,0,1.0,3.0,3.0,0.0,0
10425,2020,1,0,1,0,1.0,3.0,3.0,0.0,0
10425,2021,3,0,1,2,0.3333333333333333,3.1666666666666665,3.5,0.0,0
10425,2022,7,0,3,4,0.42857142857142855,3.142857142857143,3.5,0.0,0
10425,2023,5,0,3,2,0.6,3.5,4.0,0.0,0
10425,2024,3,0,1,2,0.3333333333333333,3.5,3.5,0.0,0
10425,2025,7,2,5,0,0.42857142857142855,4.0,5.0,0.2857142857142857,1
10425,2026,5,3,2,0,-0.2,4.1,5.0,0.6,1
10439,2021,1,0,1,0,1.0,4.0,4.0,0.0,0
1046361,2025,1,1,0,0,-1.0,4.0,4.0,1.0,1
10548,2017,2,0,2,0,1.0,3.0,3.0,0.0,0
10548,2018,1,0,1,0,1.0,3.0,3.0,0.0,0
10548,2021,2,0,2,0,1.0,3.5,3.5,0.0,0
10548,2022,3,0,3,0,1.0,3.1666666666666665,3.5,0.0,0
10548,2023,1,0,1,0,1.0,3.0,3.0,0.0,0
10548,2024,11,0,9,2,0.8181818181818182,3.3181818181818183,4.0,0.0,0
10548,2025,13,0,11,2,0.8461538461538461,3.6538461538461537,4.0,0.0,0
10548,2026,15,0,14,1,0.9333333333333333,3.8,4.0,0.0,0
10548,2027,10,0,9,1,0.9,4.5,5.0,0.0,0
1060552,2026,1,0,1,0,1.0,3.0,3.0,0.0,0
10899,2021,1,0,0,1,0.0,4.0,4.0,0.0,0
1106812,2019,2,0,0,2,0.0,4.0,4.0,0.0,0
1106812,2020,3,0,2,1,0.6666666666666666,3.3333333333333335,4.0,0.0,0
1108428,2025,1,1,0,0,-1.0,4.2,4.2,1.0,1
1119065,2022,1,0,0,1,0.0,3.0,3.0,0.0,0
1119065,2023,5,0,5,0,1.0,3.0,3.0,0.0,0
1119065,2024,26,0,17,9,0.6538461538461539,3.180769230769231,4.0,0.0,0
1119065,2025,16,1,8,7,0.4375,3.425,4.0,0.0625,1
1119065,2026,24,0,17,7,0.7083333333333334,4.145833333333333,5.0,0.0,0
1119065,2027,7,1,3,3,0.2857142857142857,4.071428571428571,5.0,0.14285714285714285,1
11577,2016,1,0,0,1,0.0,3.0,3.0,0.0,0
11577,2019,1,0,1,0,1.0,3.0,3.0,0.0,0
11577,2020,1,0,0,1,0.0,3.0,3.0,0.0,0
11577,2021,1,0,0,1,0.0,3.0,3.0,0.0,0
11577,2022,5,2,0,3,-0.4,3.2,4.0,0.4,1
11577,2023,5,0,4,1,0.8,3.1,3.5,0.0,0
11577,2024,3,1,2,0,0.3333333333333333,3.5,4.0,0.3333333333333333,1
11577,2025,5,3,2,0,-0.2,4.0,5.0,0.6,1
11577,2026,29,3,17,9,0.4827586206896552,3.7586206896551726,5.0,0.10344827586206896,1
11577,2027,4,0,2,2,0.5,4.0,4.0,0.0,0
12089,2022,1,0,1,0,1.0,3.5,3.5,0.0,0
1219836,2019,2,0,2,0,1.0,4.25,5.0,0.0,0
1219836,2021,2,0,1,1,0.5,3.75,4.0,0.0,0
1219836,2022,1,0,1,0,1.0,4.0,4.0,0.0,0
1219836,2023,4,0,4,0,1.0,3.775,5.0,0.0,0
1219836,2024,2,0,2,0,1.0,4.5,4.5,0.0,0
1219836,2025,1,0,0,1,0.0,3.0,3.0,0.0,0
12440,2026,34,2,10,22,0.23529411764705882,4.114705882352942,5.0,0.058823529411764705,1
12440,2027,33,13,6,14,-0.21212121212121213,3.9212121212121214,5.0,0.3939393939393939,1
12491,2016,2,0,2,0,1.0,3.0,3.0,0.0,0
12491,2019,1,0,1,0,1.0,3.5,3.5,0.0,0
12491,2022,1,0,1,0,1.0,3.5,3.5,0.0,0
12491,2023,10,0,10,0,1.0,3.5700000000000003,4.5,0.0,0
12491,2024,4,0,4,0,1.0,3.875,4.0,0.0,0
12491,2025,3,0,2,1,0.6666666666666666,3.0,3.0,0.0,0
12491,2026,23,2,10,11,0.34782608695652173,3.9347826086956523,5.0,0.08695652173913043,1
12491,2027,23,3,14,6,0.4782608695652174,4.326086956521739,5.0,0.13043478260869565,1
1266063,2020,1,0,1,0,1.0,3.5,3.5,0.0,0
1266063,2022,1,0,1,0,1.0,3.0,3.0,0.0,0
1266063,2023,1,0,1,0,1.0,4.0,4.0,0.0,0
1266063,2024,1,0,1,0,1.0,3.0,3.0,0.0,0
1266063,2025,2,0,2,0,1.0,3.5,4.0,0.0,0
1266063,2026,3,0,2,1,0.6666666666666666,4.333333333333333,4.5,0.0,0
1271044,2027,1,0,1,0,1.0,5.0,5.0,0.0,0
12737,2019,1,0,1,0,1.0,3.5,3.5,0.0,0
12737,2020,1,0,1,0,1.0,3.0,3.0,0.0,0
12737,2021,5,0,5,0,1.0,3.1,3.5,0.0,0
12737,2022,3,0,3,0,1.0,3.0,3.0,0.0,0
12737,2023,3,0,3,0,1.0,3.3333333333333335,4.0,0.0,0
12737,2024,6,0,5,1,0.8333333333333334,3.533333333333333,4.0,0.0,0
12737,2025,12,0,10,2,0.8333333333333334,3.6916666666666664,4.5,0.0,0
12737,2026,31,0,28,3,0.9032258064516129,4.096774193548387,5.0,0.0,0
12737,2027,20,0,19,1,0.95,4.11,5.0,0.0,0
1285483,2017,4,0,2,2,0.5,3.75,4.0,0.0,0
1285483,2018,4,0,3,1,0.75,3.5,4.0,0.0,0
1285483,2019,3,0,3,0,1.0,3.0,3.0,0.0,0
1285483,2020,4,0,3,1,0.75,3.0,3.0,0.0,0
1285483,2021,4,0,4,0,1.0,3.125,3.5,0.0,0
1285483,2022,10,0,10,0,1.0,3.15,3.5,0.0,0
1285483,2023,4,3,1,0,-0.5,3.125,3.5,0.75,0
1285483,2024,25,2,19,4,0.68,3.612,5.0,0.08,1
1285483,2025,9,0,8,1,0.8888888888888888,4.277777777777778,5.0,0.0,0
1285483,2026,10,0,8,2,0.8,4.32,5.0,0.0,0
1285483,2027,1,0,1,0,1.0,5.0,5.0,0.0,0
1287581,2018,2,0,0,2,0.0,4.1,4.2,0.0,0
1287581,2021,2,0,0,2,0.0,3.25,3.5,0.0,0
1287581,2026,1,1,0,0,-1.0,4.0,4.0,1.0,1
1287581,2027,4,4,0,0,-1.0,4.0,5.0,1.0,1
12944,2027,2,0,0,2,0.0,3.75,4.0,0.0,0
1303620,2016,1,0,1,0,1.0,3.0,3.0,0.0,0
1303620,2018,2,0,2,0,1.0,3.0,3.0,0.0,0
1303620,2019,6,0,3,3,0.5,3.1666666666666665,4.0,0.0,0
1303620,2020,4,0,2,2,0.5,3.0,3.0,0.0,0
1303620,2021,2,0,0,2,0.0,3.0,3.0,0.0,0
1303620,2022,1,0,1,0,1.0,3.0,3.0,0.0,0
1303620,2023,1,0,1,0,1.0,3.0,3.0,0.0,0
1303620,2024,3,0,3,0,1.0,3.6666666666666665,4.0,0.0,0
1303620,2025,3,0,2,1,0.6666666666666666,3.8333333333333335,4.0,0.0,0
1303620,2026,2,0,0,2,0.0,3.0,3.0,0.0,0
1303620,2027,8,0,1,7,0.125,4.875,5.0,0.0,0
1305951,2026,1,1,0,0,-1.0,5.0,5.0,1.0,1
1332555,2023,1,0,1,0,1.0,3.0,3.0,0.0,0
1332555,2025,1,0,1,0,1.0,4.0,4.0,0.0,0
1340608,2027,96,21,51,24,0.3125,4.302083333333333,5.0,0.21875,1
13410,2021,2,0,1,1,0.5,3.5,4.0,0.0,0
1342940,2024,1,0,1,0,1.0,3.0,3.0,0.0,0
1342940,2026,1,0,0,1,0.0,4.5,4.5,0.0,0
13465,2026,5,2,1,2,-0.2,3.3,4.0,0.4,1
13465,2027,1,1,0,0,-1.0,4.0,4.0,1.0,1
1348457,2018,1,0,1,0,1.0,3.0,3.0,0.0,0
1348457,2019,2,0,2,0,1.0,3.0,3.0,0.0,0
1348457,2023,2,0,1,1,0.5,4.0,4.0,0.0,0
1348457,2024,2,0,0,2,0.0,3.5,3.5,0.0,0
1348457,2025,2,0,2,0,1.0,3.75,4.0,0.0,0
1348457,2026,4,0,2,2,0.5,4.125,5.0,0.0,0
1348457,2027,1,0,1,0,1.0,5.0,5.0,0.0,0
13536,2017,1,0,1,0,1.0,3.0,3.0,0.0,0
13536,2018,1,0,1,0,1.0,3.0,3.0,0.0,0
13536,2019,5,0,5,0,1.0,3.0,3.0,0.0,0
13536,2021,4,0,3,1,0.75,3.0,3.0,0.0,0
13536,2022,3,0,2,1,0.6666666666666666,3.1666666666666665,3.5,0.0,0
13536,2023,1,0,0,1,0.0,3.0,3.0,0.0,0
13536,2024,19,0,19,0,1.0,3.5789473684210527,4.5,0.0,0
13536,2025,6,0,6,0,1.0,3.9166666666666665,4.5,0.0,0
13536,2026,11,2,9,0,0.6363636363636364,4.2272727272727275,5.0,0.18181818181818182,1
13536,2027,3,0,2,1,0.6666666666666666,5.0,5.0,0.0,0
1372574,2021,2,0,1,1,0.5,3.1,3.2,0.0,0
1372574,2022,1,1,0,0,-1.0,3.0,3.0,1.0,0
1372574,2024,3,1,2,0,0.3333333333333333,3.5666666666666664,4.0,0.3333333333333333,1
1372574,2026,1,0,0,1,0.0,3.0,3.0,0.0,0
1372574,2027,1,1,0,0,-1.0,4.0,4.0,1.0,1
13821,2017,2,0,2,0,1.0,3.0,3.0,0.0,0
13821,2018,1,0,1,0,1.0,3.0,3.0,0.0,0
13821,2019,2,0,1,1,0.5,3.0,3.0,0.0,0
13821,2020,5,0,3,2,0.6,3.4,4.0,0.0,0
13821,2021,2,0,0,2,0.0,3.0,3.0,0.0,0
13821,2022,3,0,3,0,1.0,3.0,3.0,0.0,0
13821,2023,4,0,4,0,1.0,3.75,5.0,0.0,0
13821,2024,5,0,5,0,1.0,3.4,4.5,0.0,0
13821,2025,5,0,4,1,0.8,4.54,5.0,0.0,0
13821,2026,15,0,13,2,0.8666666666666667,4.38,5.0,0.0,0
13821,2027,4,0,3,1,0.75,3.875,5.0,0.0,0
13832,2017,1,0,0,1,0.0,3.0,3.0,0.0,0
13832,2023,1,0,0,1,0.0,3.0,3.0,0.0,0
1394154,2027,1,1,0,0,-1.0,5.0,5.0,1.0,1
1397037,2018,2,0,2,0,1.0,3.5,4.0,0.0,0
1397037,2019,4,0,1,3,0.25,3.875,4.0,0.0,0
1397037,2020,2,0,0,2,0.0,4.0,4.0,0.0,0
13990,2017,1,0,1,0,1.0,3.0,3.0,0.0,0
13990,2020,2,0,1,1,0.5,3.0,3.0,0.0,0
13990,2021,5,0,5,0,1.0,3.1,3.5,0.0,0
13990,2022,3,0,3,0,1.0,3.1666666666666665,3.5,0.0,0
13990,2023,1,0,1,0,1.0,3.0,3.0,0.0,0
13990,2024,7,0,6,1,0.8571428571428571,3.2142857142857144,4.0,0.0,0
13990,2025,15,0,11,4,0.7333333333333333,3.453333333333333,4.0,0.0,0
13990,2026,18,5,8,5,0.16666666666666666,3.8055555555555554,5.0,0.2777777777777778,1
13990,2027,4,1,1,2,0.0,4.0,5.0,0.25,1
14529,2019,2,0,0,2,0.0,3.0,3.0,0.0,0
14529,2020,5,2,2,1,0.0,3.0,3.0,0.4,0
14529,2021,4,2,2,0,0.0,3.0,3.0,0.5,0
14529,2022,9,3,4,2,0.1111111111111111,3.388888888888889,4.0,0.3333333333333333,1
14529,2023,7,1,3,3,0.2857142857142857,3.314285714285714,5.0,0.14285714285714285,1
14529,2024,8,4,2,2,-0.25,3.325,4.0,0.5,1
